feature,mean_abs_shap
V15,0.1361827951551873
V9,0.13471143422467716
V24,0.12583103591480546
V11,0.1216546404568287
V16,0.11775670843233153
V12,0.1122356094216614
V13,0.10915436979002699
V14,0.10564906964634546
V19,0.10206448125556393
V26,0.09625185537317808
V4,0.09579151969060473
V18,0.08753407559729469
V17,0.08632166225230546
V22,0.08248501856439001
V5,0.0821562507125192
V6,0.08018352950919541
V28,0.07665804703691331
V2,0.07626453296143974
Time,0.07239106968818208
V3,0.07235129115685207
V20,0.07218158557933789
V23,0.07007940130802254
V1,0.06902899011704566
V25,0.0669601147785625
V10,0.06472047897349643
V8,0.05800410618032957
V27,0.05624818985025636
V21,0.052785385627296046
V7,0.05199067635419841
Amount,0.047449809927242466
